City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Chokurdakh,RU,70.6333,147.9167,-29.36,85,47,8.21,scattered clouds
81,Puerto Ayora,EC,-0.7393,-90.3518,78.01,90,38,5.99,scattered clouds
82,Jos,NG,9.9167,8.9,63.0,28,0,4.56,clear sky
83,Half Moon Bay,US,37.4636,-122.4286,57.99,76,90,9.22,overcast clouds
84,San Andres,CO,12.5847,-81.7006,80.6,74,40,13.8,scattered clouds
85,Kaitangata,NZ,-46.2817,169.8464,61.0,80,72,13.0,broken clouds
86,Ubinskoye,RU,55.3068,79.6802,-12.42,86,84,9.6,broken clouds
87,Punta Arenas,CL,-53.15,-70.9167,51.8,62,0,26.46,clear sky
88,New Norfolk,AU,-42.7826,147.0587,72.0,45,14,1.99,few clouds
89,Albany,US,42.6001,-73.9662,17.01,59,11,5.99,few clouds
90,Kavaratti,IN,10.5669,72.642,80.85,69,32,7.47,scattered clouds
91,Iqaluit,CA,63.7506,-68.5145,-9.0,77,1,19.57,snow
92,Port Elizabeth,ZA,-33.918,25.5701,62.6,94,0,6.91,clear sky
93,Banjar,ID,-8.19,114.9675,80.6,83,40,10.36,scattered clouds
94,Daru,PG,-9.0763,143.2092,77.0,88,100,14.5,overcast clouds
95,Yellowknife,CA,62.456,-114.3525,-13.0,77,20,4.61,few clouds
96,Novo Aripuana,BR,-5.1206,-60.3797,74.03,91,81,1.83,broken clouds
97,Kahului,US,20.8947,-156.47,78.8,57,40,18.41,scattered clouds
98,Khatanga,RU,71.9667,102.5,-46.73,77,31,1.12,scattered clouds
99,Hovd,MN,48.0056,91.6419,7.05,83,82,0.69,broken clouds
100,Kavieng,PG,-2.5744,150.7967,83.3,73,99,14.72,overcast clouds
101,Sabha,LY,27.0377,14.4283,56.88,38,0,7.49,clear sky
102,Matagami,CA,49.7502,-77.6328,-2.2,84,90,5.75,overcast clouds
103,Provideniya,RU,64.3833,-173.3,-11.2,83,81,12.37,broken clouds
104,Aracuai,BR,-16.8497,-42.0703,73.81,64,16,5.53,few clouds
105,Lypnyazhka,UA,48.4469,31.0761,33.19,95,100,10.63,overcast clouds
106,Juan Lacaze,UY,-34.4342,-57.4381,66.04,84,100,32.66,light rain
107,Maniitsoq,GL,65.4167,-52.9,12.36,79,0,8.61,clear sky
108,Cape Town,ZA,-33.9258,18.4232,71.01,77,75,5.75,broken clouds
109,Longkou,CN,37.6508,120.3286,36.61,82,97,12.57,overcast clouds
110,Cap Malheureux,MU,-19.9842,57.6142,75.99,86,0,3.0,clear sky
111,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,16.11,broken clouds
112,Carnarvon,AU,-24.8667,113.6333,84.2,79,12,5.75,few clouds
113,Kodiak,US,57.79,-152.4072,33.8,55,1,23.02,clear sky
114,Sola,VU,-13.8833,167.55,87.8,70,75,5.75,broken clouds
115,Isla Mujeres,MX,21.2311,-86.731,78.01,61,40,11.5,scattered clouds
116,Butaritari,KI,3.0707,172.7902,81.3,77,59,18.52,broken clouds
117,Vestmannaeyjar,IS,63.4427,-20.2734,31.08,94,88,8.97,overcast clouds
118,Nadym,RU,65.5333,72.5167,-18.38,85,100,20.78,overcast clouds
119,Ballina,AU,-28.8667,153.5667,80.6,69,75,10.36,broken clouds
120,Saint George,US,37.1041,-113.5841,50.0,50,1,2.55,clear sky
121,Yining,CN,29.0361,114.5636,46.99,78,84,1.14,broken clouds
122,Chuy,UY,-33.6971,-53.4616,74.23,79,59,13.58,light rain
123,Severo-Kurilsk,RU,50.6789,156.125,24.69,95,97,27.96,light snow
124,Arraial Do Cabo,BR,-22.9661,-42.0278,77.32,80,39,27.87,scattered clouds
125,Comodoro Rivadavia,AR,-45.8667,-67.5,60.8,51,0,8.05,clear sky
126,Marawi,PH,7.9986,124.2928,79.0,83,89,4.0,overcast clouds
127,Valparaiso,CL,-33.0393,-71.6273,66.0,100,90,4.61,fog
128,Georgetown,MY,5.4112,100.3354,78.01,83,20,7.0,few clouds
129,Phan Thiet,VN,10.9333,108.1,71.4,72,100,4.85,overcast clouds
130,Sokoto,NG,13.0609,5.239,68.88,21,21,11.36,few clouds
131,Narsaq,GL,60.9167,-46.05,39.2,28,75,33.38,broken clouds
132,Eyl,SO,7.9803,49.8164,70.47,84,20,11.05,few clouds
133,Nanortalik,GL,60.1432,-45.2371,30.36,90,100,8.28,overcast clouds
134,Lata,PT,40.1629,-8.3327,55.99,87,70,1.01,broken clouds
135,Gladstone,AU,-23.85,151.25,82.4,57,90,10.36,overcast clouds
136,Aleppo,SY,36.25,37.5,49.51,76,100,17.34,overcast clouds
137,Emiliano Zapata,MX,18.8333,-99.1833,80.6,29,40,5.75,scattered clouds
138,Tortoli,IT,39.9256,9.6572,60.8,55,0,21.85,clear sky
139,Roma,US,43.2128,-75.4557,17.6,67,90,8.05,overcast clouds
140,Port Alfred,ZA,-33.5906,26.891,62.01,93,17,1.81,few clouds
141,Aklavik,CA,68.2191,-135.0107,-16.6,76,90,5.75,overcast clouds
142,Borger,NL,52.9233,6.7931,25.0,95,56,4.0,broken clouds
143,Cayenne,GF,4.9333,-52.3333,80.6,89,75,9.22,broken clouds
144,Astana,KZ,51.1801,71.446,10.4,79,0,8.95,clear sky
145,Hithadhoo,MV,-0.6,73.0833,81.61,79,65,15.05,broken clouds
146,Xining,CN,36.6167,101.7667,11.35,77,12,2.98,few clouds
147,Kapaa,US,22.0752,-159.319,78.8,65,75,14.97,light rain
148,Jingdezhen,CN,29.2947,117.2079,49.3,69,89,1.28,overcast clouds
149,Havelock,US,34.8791,-76.9013,37.0,55,1,4.61,clear sky
150,Lasa,IT,46.6166,10.7002,37.99,100,90,2.8,snow
151,Pangnirtung,CA,66.1451,-65.7125,-9.42,74,0,2.01,clear sky
152,Codrington,AU,-38.2667,141.9667,63.61,60,84,7.45,broken clouds
153,Kamen-Na-Obi,RU,53.7884,81.3423,-6.7,90,81,6.78,broken clouds
154,Altenstadt,DE,50.2833,8.95,34.0,90,98,1.01,overcast clouds
155,Victoria,HK,22.2855,114.1577,63.0,64,0,1.01,clear sky
156,Ust-Nera,RU,64.5667,143.2,-25.8,76,100,7.85,overcast clouds
157,Coihaique,CL,-45.5752,-72.0662,64.4,45,0,9.22,clear sky
158,Bianzhuang,CN,34.8486,118.0447,38.93,73,8,4.16,clear sky
159,Airai,TL,-8.9266,125.4092,62.26,100,100,5.41,overcast clouds
160,Isangel,VU,-19.55,169.2667,82.4,69,40,9.22,scattered clouds
161,Manono,CD,-7.3,27.4167,70.05,91,92,2.35,light rain
162,Barranca De Upia,CO,4.5696,-72.9668,82.76,43,42,4.47,scattered clouds
163,Santa Rosa,PH,14.3122,121.1114,79.0,69,40,5.75,scattered clouds
164,Ostrovnoy,RU,68.0531,39.5131,14.65,95,100,7.72,light snow
165,Bluff,NZ,-46.6,168.3333,57.13,68,100,4.68,overcast clouds
166,Andilamena,MG,-17.0167,48.5833,64.8,97,72,2.73,broken clouds
167,Dali,CN,25.7,100.1833,40.17,81,0,4.41,clear sky
168,Zhuanghe,CN,39.7008,122.9911,20.34,91,38,14.45,scattered clouds
169,Sao Filipe,CV,14.8961,-24.4956,73.38,63,96,11.36,overcast clouds
170,Lagoa,PT,39.05,-27.9833,61.86,93,77,27.63,broken clouds
171,Cidreira,BR,-30.1811,-50.2056,75.22,90,86,4.21,overcast clouds
172,Nagato,JP,34.3833,131.2,46.4,81,20,1.14,few clouds
173,San Patricio,US,28.017,-97.5169,73.4,78,20,18.41,few clouds
174,Ardrishaig,GB,56.0157,-5.4481,33.8,86,80,6.91,broken clouds
175,Kupang,ID,-10.1667,123.5833,82.4,89,75,12.66,broken clouds
176,Haines Junction,CA,60.7522,-137.5108,-5.8,77,100,1.14,overcast clouds
177,Biltine,TD,14.5333,20.9167,69.3,21,8,14.79,clear sky
178,Miraflores,MX,19.2167,-98.8083,75.2,16,40,9.22,scattered clouds
179,Nortelandia,BR,-14.4547,-56.8028,76.39,79,96,3.09,overcast clouds
180,Asau,RO,46.4333,26.4,37.0,80,75,16.11,broken clouds
181,Mar Del Plata,AR,-38.0023,-57.5575,62.01,63,75,18.41,light rain
182,Dicabisagan,PH,17.0818,122.4157,71.13,81,100,12.15,overcast clouds
183,Luena,AO,-11.7833,19.9167,62.35,95,100,4.5,overcast clouds
184,Gejiu,CN,23.306,103.1635,43.27,100,84,5.17,broken clouds
185,Cherskiy,RU,68.75,161.3,-36.87,83,0,0.74,clear sky
186,Aljezur,PT,37.3191,-8.8033,55.99,100,99,1.01,overcast clouds
187,Arroyo,ES,41.6096,-4.7969,46.0,81,75,19.57,broken clouds
188,Hami,CN,42.8,93.45,21.16,85,0,4.65,clear sky
189,Sistranda,NO,63.7256,8.834,24.8,100,20,5.75,light snow
190,Ningxiang,CN,37.34,111.2052,23.59,79,16,4.23,few clouds
191,Saint-Francois,FR,46.4154,3.9054,44.6,81,75,2.3,broken clouds
192,Arnsberg,DE,51.3297,8.0071,30.0,82,99,3.91,overcast clouds
193,Qasigiannguit,GL,68.8193,-51.1922,6.8,61,90,8.05,overcast clouds
194,La Primavera,CO,5.4906,-70.4092,84.52,48,80,6.11,broken clouds
195,Dingle,PH,10.9995,122.6711,75.74,84,95,12.66,overcast clouds
196,Vrangel,RU,42.7297,133.0839,3.61,83,0,9.4,clear sky
197,Inhambane,MZ,-23.865,35.3833,78.35,79,1,6.06,clear sky
198,Ziro,IN,27.6333,93.8333,31.35,100,9,2.68,clear sky
199,Sao Joao De Pirabas,BR,-0.7747,-47.1772,77.43,91,100,6.51,overcast clouds
200,Trelew,AR,-43.249,-65.3051,60.78,54,0,17.43,clear sky
201,Adre,TD,13.4667,22.2,63.63,26,0,12.93,clear sky
202,Vanimo,PG,-2.6741,141.3028,83.03,74,100,7.11,overcast clouds
203,Asia,PH,9.5506,122.5164,78.12,75,94,11.59,overcast clouds
204,Mahebourg,MU,-20.4081,57.7,78.8,83,40,8.05,scattered clouds
205,Straja,RO,47.9167,25.55,30.0,87,75,9.55,light snow
206,Nago,JP,26.5881,127.9761,57.2,88,1,5.75,clear sky
207,Panguipulli,CL,-39.6333,-72.3333,66.2,59,23,4.61,few clouds
208,Markova,UA,48.6758,24.4138,21.42,94,94,4.81,overcast clouds
209,Hohhot,CN,40.8106,111.6522,5.0,78,0,4.47,clear sky
210,Tupik,RU,54.4253,119.9327,-36.35,80,86,1.23,overcast clouds
211,Rio Gallegos,AR,-51.6226,-69.2181,62.6,34,0,16.11,clear sky
212,Geraldton,AU,-28.7667,114.6,91.4,25,0,20.71,clear sky
213,Chancay,PE,-11.5714,-77.2672,77.0,73,0,13.8,clear sky
214,Rodrigues Alves,BR,-7.738,-72.6509,73.99,95,43,1.34,scattered clouds
215,Visnes,NO,59.3556,5.2242,21.2,93,20,4.61,few clouds
216,Mezhdurechenskiy,RU,59.6,65.9333,14.74,97,100,5.64,overcast clouds
217,Komsomolskiy,UZ,40.4272,71.7189,35.6,44,100,2.3,overcast clouds
218,Visby,SE,57.6409,18.296,26.6,80,75,12.66,broken clouds
219,Trat,TH,12.5,102.5,69.35,66,46,4.5,scattered clouds
220,Yayva,RU,59.3303,57.2641,12.99,61,100,4.0,light snow
