City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
278,Lorengau,PG,83.59,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
279,Trairi,BR,79.41,broken clouds,-3.2778,-39.2689,janelas do mar
280,Nabire,ID,79.84,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
299,Newcastle,AU,80.6,broken clouds,-32.9272,151.7765,NOAH'S on the beach
305,Coxim,BR,78.82,overcast clouds,-18.5067,-54.76,Hotel Avenida
310,Jaque,PA,81.39,broken clouds,7.5175,-78.1703,Imbu Bua Lodge
314,Tambau,BR,78.8,clear sky,-21.705,-47.2744,Hostel Peregrinos da Fé
315,Presidencia Roque Saenz Pena,AR,79.0,scattered clouds,-26.7852,-60.4388,Hotel Gualok
319,Bubaque,GW,79.52,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
321,Pochutla,MX,82.4,few clouds,15.7432,-96.4661,Hotel Posada San Jose
327,Road Town,VG,77.0,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
329,Sao Miguel Do Araguaia,BR,76.32,scattered clouds,-13.275,-50.1628,Hotel Executivo Palace
330,Sabang,ID,80.89,broken clouds,5.8933,95.3214,Hotel Citra
337,Port-Gentil,GA,77.0,overcast clouds,-0.7193,8.7815,Fengshui Residence
340,Talara,PE,78.8,broken clouds,-4.5772,-81.2719,Hostal Oro Negro
345,Vaitape,PF,81.21,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
348,Ciudad Bolivar,VE,80.08,broken clouds,8.1222,-63.5497,Hotel Edi
351,Porto Novo,BJ,84.2,scattered clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
356,Porto Velho,BR,78.8,light rain,-8.7619,-63.9039,Hotel Vila Rica Porto Velho
362,Carutapera,BR,78.57,overcast clouds,-1.195,-46.02,Lidera
366,Vao,NC,75.56,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
373,Makakilo City,US,80.6,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
376,Padang,ID,76.44,overcast clouds,-0.9492,100.3543,Mercure Padang
